Year,LandAverageTemperature,LandMaxTemperature,LandMinTemperature
1973,3.832,9.292,-1.514
1969,8.575999999999999,14.286,2.69
1983,3.8289999999999997,9.25,-1.3119999999999998
1861,10.515999999999998,15.401000000000002,3.858000000000001
1977,9.156,14.875,3.5860000000000003
2012,12.59,18.611,6.461
1991,14.987,20.643,9.273
1885,5.425,11.488,-0.476
2009,3.687,9.175999999999998,-1.7560000000000002
1920,11.794,17.810000000000006,5.85
1953,12.199000000000002,18.145000000000003,6.2879999999999985
1908,11.140999999999998,16.958000000000002,4.86
1851,9.122,14.961,3.298
1992,3.931,9.491,-1.5950000000000002
1860,2.632,8.747,-3.232
1907,9.234,15.079,3.32
1905,1.9269999999999998,7.7349999999999985,-3.951
2002,9.988,15.599,4.484
1909,4.589,10.659,-1.6769999999999998
1943,13.774,19.68,7.985999999999999
2007,9.823,15.807,3.88
1949,2.759,8.517999999999999,-3.003
1902,13.214,19.338,6.894
1903,4.93,10.963,-1.158
1978,3.4560000000000004,9.006,-2.149
1865,7.313999999999999,14.276,1.793
1918,10.54,16.48,4.386
1997,11.593,17.378,5.8020000000000005
1986,14.293,19.987000000000002,8.738999999999999
1912,11.222,17.435000000000002,5.227
1943,8.638,14.654000000000002,2.719
1873,13.405,19.006,6.783
1876,8.946,14.4,2.766
1928,9.486,15.387,3.549
1894,5.118,11.085999999999999,-1.093
1908,13.293,19.063,6.902
1872,11.198,17.369,5.046
2014,14.335,20.125999999999998,8.472999999999999
1860,3.494,11.821,-0.7140000000000001
1965,2.862,8.418,-2.526
1916,5.596,11.22,-0.31099999999999994
1948,8.498999999999999,14.384,2.617
2007,6.485,12.482999999999999,0.5169999999999999
1902,4.883,11.165999999999999,-1.339
1897,1.893,7.411999999999999,-3.5730000000000004
1945,14.213,20.142,8.352
1936,12.020999999999999,17.91,6.064
1895,13.058,19.059,6.905
1963,8.173,13.914,2.35
1913,11.759,17.833000000000006,5.629
2001,3.72,9.486,-1.997
1910,11.005,17.03,4.675000000000002
1979,11.199000000000002,17.139000000000006,5.7120000000000015
1976,5.66,11.155999999999999,0.302
1929,13.957,19.652,8.012
1996,8.679,14.470999999999998,2.717
1851,2.431,8.950999999999997,-2.443
1927,12.254,18.109,6.26
1859,13.217,19.201,7.964999999999999
1853,4.078,10.325,-1.966
1934,3.985,9.279,-1.62
2002,4.038,9.357,-1.189
2010,7.487,13.168,1.95
1914,13.73,19.692,7.869999999999999
1915,5.143,11.024,-1.115
1952,14.549,20.416,8.754
1921,13.561,19.468,7.600999999999999
1980,8.934999999999997,14.821,3.109
2015,9.312999999999999,15.224,3.402
2014,12.582,18.362000000000002,6.613
1858,4.834,10.44,-1.4700000000000002
1860,1.634,8.556000000000001,-2.5250000000000004
1993,11.475,17.289,5.674
2000,4.184,9.863,-1.371
1859,2.015,8.074,-2.7
1938,12.427,18.311,6.468
1952,5.425,11.017,-0.16400000000000006
1882,5.04,10.794,-1.411
2013,10.255999999999998,15.994000000000002,4.663
1946,3.4610000000000003,9.259,-2.3890000000000002
1868,5.192,10.181,-0.3500000000000001
1996,12.294,17.974,6.711
1922,5.1560000000000015,11.248,-1.1880000000000002
1957,13.783,19.473,7.811
1977,11.78,17.594,6.009
2004,6.3210000000000015,12.275,0.3759999999999999
1960,2.713,8.222000000000001,-2.623
1951,4.327999999999999,9.788,-1.162
1905,7.754999999999999,13.622,1.493
1991,9.226,15.123,3.414
1998,14.520999999999999,20.404,8.777999999999999
2013,12.195,18.107000000000006,6.263
1897,8.277999999999999,14.293,1.74
1878,12.093,17.827,6.1
1867,2.6639999999999997,9.183,-2.172
1855,13.547,19.012,6.930999999999999
1911,13.009,19.090999999999998,6.7780000000000005
1902,8.801,14.811,2.759
1874,3.069,7.9620000000000015,-3.2300000000000004
1916,2.316,7.837999999999999,-3.402
1974,2.261,7.463999999999999,-2.894
1987,11.525,17.315,5.797999999999999
1935,14.331,20.173,8.437999999999999
1861,5.707000000000002,12.044,0.41
1951,14.324000000000002,20.225,8.416
1929,10.915,16.906000000000002,4.784000000000002
1911,14.082,19.987000000000002,8.052999999999999
1958,14.438,20.121,8.839
1890,14.034,19.718,7.857
1851,13.751,17.360999999999994,6.594999999999999
2014,6.712999999999999,12.284,1.3130000000000002
1887,0.8240000000000001,6.863999999999999,-4.678000000000001
1912,3.354,9.379,-2.718
1974,3.55,8.738999999999999,-1.5219999999999998
1882,2.205,8.573,-2.795
1886,3.502,8.616,-1.862
1863,7.930999999999999,14.257,1.642
1898,7.906999999999999,14.459,1.49
1952,12.238,18.109,6.379
1918,4.811,10.704,-1.267
1900,11.385,17.415000000000006,5.1789999999999985
1999,14.348,20.158,8.696
1962,8.54,14.473,2.576
1946,12.064,17.921000000000006,6.2639999999999985
1881,12.745,18.945999999999998,6.801
1891,13.93,19.849,7.818
1995,5.956,11.784,0.265
1876,5.093,10.498,-0.6530000000000002
1941,3.67,9.439,-2.234
1991,5.574,11.411,-0.129
1901,2.1910000000000003,7.995999999999999,-3.491
1958,6.26,11.718,0.746
1941,11.815999999999999,17.813000000000006,5.973
1851,3.14,6.436,-3.242
1968,13.204,18.873,7.318
1944,3.591,9.407,-2.123
1891,8.722000000000001,15.042,2.764
1860,2.077,9.771999999999998,-2.059
1979,14.114,19.945,8.491
1970,11.206,17.165000000000006,5.402
1897,4.345,10.442,-2.123
1949,9.531,15.439,3.719
1924,13.654000000000002,19.519,7.584999999999999
2003,10.424,16.115,4.74
1932,5.908,11.550999999999998,0.014000000000000012
1969,4.21,9.587,-1.139
1909,10.610999999999999,16.668000000000006,4.380000000000001
1968,9.453,15.086,3.787
1935,4.125,9.943999999999999,-1.717
1876,14.319,19.855,7.891
1870,7.879,14.287,1.5699999999999998
1973,3.0380000000000003,8.491999999999999,-2.3080000000000003
1990,9.169,15.058,3.373
1930,13.927999999999999,19.803,7.995999999999999
1958,5.4529999999999985,11.321,-0.5489999999999999
1852,2.54,8.568999999999999,-2.337
1900,8.222999999999999,13.972,2.131
2013,7.423999999999999,12.965,2.016
1979,2.841,8.525,-2.7590000000000003
2011,6.814,12.395,1.432
1947,10.011,15.797,4.313
1855,8.58,13.709,1.1409999999999998
2004,14.312,20.087,8.624
1923,3.88,9.269,-1.903
1887,11.707,17.392000000000003,5.7010000000000005
1992,14.139,19.853,8.421
2008,14.145,19.973,8.266
1944,12.45,18.453000000000007,6.614
1916,12.942,18.91,6.867000000000001
2004,10.127,15.843,4.511
1920,11.130999999999998,17.145,5.126
1920,5.227,11.034,-0.782
1943,9.907,15.859000000000002,4.0680000000000005
1895,4.689,10.838,-1.594
1941,11.493,17.259,5.5820000000000025
1960,12.095,17.855999999999995,6.497999999999998
1991,14.319,20.035999999999998,8.61
1887,5.5920000000000005,11.66,-0.2640000000000001
