Year,Latitude,Longitude
1905,-23.31,-112.72
1936,18.48,-30.42
2007,-36.17,-139.23
1998,-36.17,-139.23
1922,-31.35,-120.63
1844,-45.81,72.69
1980,-37.78,-126.1
1897,-23.31,-90.0
1986,-20.09,98.96
1990,-18.48,-72.68
1919,-36.17,-37.79
1767,-49.03,-2.45
1879,-21.7,-38.94
1756,-55.45,-36.85
1916,-34.56,-108.97
1957,34.56,-151.78
1945,-39.38,-33.29
2006,-39.38,-33.29
1897,-23.31,-72.52
1920,-13.66,-99.91
1987,-15.27,-32.5
1965,-18.48,69.3
1892,-18.48,-74.37
2009,-31.35,-30.16
1972,7.23,-39.73
1826,-37.78,-113.9
1842,-23.31,-112.72
1816,-36.17,-37.79
1951,-10.45,-107.18
1891,-26.52,-80.6
1799,-31.35,-30.16
2006,-39.38,-33.29
1911,-21.7,-38.94
1872,-40.99,-29.82
1875,-31.35,-103.66
1859,-37.78,-113.9
1908,-39.38,-120.69
1915,-4.02,74.73
1961,-24.92,-46.11
1964,-24.92,-122.36
1924,-60.27,-29.19
1836,-44.2,80.5
1940,-5.63,-3.23
1932,-36.17,-59.67
1924,-7.23,-4.05
1944,29.74,-31.38
1926,-31.35,-73.51
1956,29.74,-31.38
1955,32.95,-18.19
1942,-23.31,-72.52
1955,-36.17,-37.79
1882,-28.13,-77.27
1920,-39.38,-116.53
1820,-50.63,-31.69
1883,-39.38,-33.29
1884,-39.38,-33.29
1795,-49.03,-2.45
1837,-36.17,-59.67
1877,-20.09,98.96
1870,-44.2,80.5
1950,-36.17,-117.35
1864,-10.45,-107.18
1984,-2.41,-45.8
1981,-26.52,-80.6
1888,-40.99,-123.55
1817,-24.92,-67.39
1908,23.31,46.31
1970,-40.99,74.56
1901,-36.17,-139.23
1806,-42.59,87.27
1868,-42.59,87.27
1946,-42.59,-13.09
1959,-36.17,-37.79
1947,-39.38,-33.29
1990,-31.35,-73.51
1915,-26.52,-80.6
1835,-21.7,-73.56
1848,-31.35,-73.51
2001,-0.8,-103.66
2007,-42.59,87.27
1784,-37.78,-26.44
1955,-23.31,-88.25
1915,-20.09,98.96
1988,-60.27,-29.19
1957,0.8,-36.16
1861,34.56,-151.78
1781,-50.63,-31.69
1983,-34.56,-70.05
1875,-23.31,-90.0
1901,-31.35,-30.16
1927,5.63,-106.55
1903,-52.24,0.0
1997,32.95,69.89
1925,-40.99,-123.55
1929,-8.84,-38.11
1859,-34.56,118.7
1828,-26.52,-75.22
1905,-37.78,-126.1
1888,-40.99,-123.55
1921,8.84,-13.78
1838,-32.95,-45.0
1981,-42.59,87.27
1873,-16.87,-78.7
2009,-40.99,4.26
1799,-23.31,-88.25
1775,-37.78,-26.44
1847,-10.45,-107.18
1888,-5.63,-3.23
1949,-37.78,-111.86
1828,-28.13,-77.27
1858,-40.99,-123.55
1993,-26.52,-80.6
1822,-37.78,-26.44
1867,-34.56,-108.97
1898,-39.38,-116.53
1904,20.09,44.36
1981,4.02,40.98
1936,-37.78,-126.1
1885,-16.87,-95.44
1906,23.31,46.31
1927,-34.56,-136.22
1885,15.27,47.5
1816,-23.31,-90.0
1921,7.23,-112.7
1935,0.8,-36.16
1938,-21.7,-38.94
1825,-44.2,-125.22
1964,-13.66,-80.09
1933,-44.2,80.5
1850,-31.35,-103.66
1870,-40.99,4.26
1992,-20.09,98.96
1943,-40.99,-29.82
1931,-37.78,-113.9
1802,-50.63,-31.69
1909,-45.81,72.69
1893,-8.84,-38.11
1807,-40.99,74.56
1989,-24.92,-67.39
1957,-23.31,-90.0
1894,-28.13,-77.27
1898,-5.63,3.23
1957,-20.09,98.96
1960,-45.81,-125.77
1988,-37.78,-126.1
2004,-44.2,80.5
1975,-44.2,80.5
1981,-0.8,-103.66
1998,-40.99,-29.82
1943,-34.56,-70.05
1895,8.84,-13.78
1959,-39.38,-116.53
1962,-42.59,-13.09
1798,-40.99,74.56
1951,-49.03,-2.45
1990,-42.59,-13.09
1901,-40.99,-29.82
1960,-36.17,-59.67
1963,-31.35,-118.74
1956,-39.38,-120.69
1906,4.02,-15.27
1835,-39.38,-116.53
1878,-50.63,-31.69
1822,-23.31,-88.25
1922,-45.81,72.69
1957,-2.41,-45.8
1841,-20.09,98.96
1994,-26.52,-75.22
1926,-36.17,-37.79
1895,-24.92,-46.11
1878,-28.13,-77.27
1786,-42.59,-13.09
1950,-44.2,80.5
1864,-8.84,-38.11
1940,-39.38,-120.69
1948,-4.02,74.73
1990,-31.35,-73.51
2011,-21.7,-73.56
1994,32.95,-18.19
1825,-37.78,-26.44
1874,-40.99,-123.55
1834,-34.56,-70.05
1899,-40.99,-123.55
1880,-13.66,-99.91
1888,-13.66,-80.09
1800,-31.35,-30.16
1891,-34.56,-70.05
1798,-52.24,-13.14
1950,-8.84,-38.11
1894,29.74,-31.38
1918,-32.95,-45.0
1923,-40.99,-123.55
1937,-5.63,-3.23
1967,-52.24,0.0
1902,-36.17,-37.79
1899,-21.7,-78.75
1960,-23.31,-88.25
1939,-23.31,-88.25
