Year,LandAndOceanAverageTemperature
1973,13.711
1969,15.517999999999999
1983,13.886
1861,15.489
1977,15.387
2012,16.698999999999998
1991,17.348
1885,14.057
2009,14.091
1920,16.117
1953,16.418
1908,15.757
1851,15.213
1992,14.181
1860,13.424000000000001
1907,15.159
1905,13.206
2002,15.859000000000002
1909,13.852
1943,16.912
2007,15.93
1949,13.686
1902,16.284000000000002
1903,14.05
1978,13.904000000000002
1865,14.860999999999999
1918,15.733
1997,16.387999999999998
1986,16.991
1912,15.685
1943,15.335
1873,16.429000000000002
1876,15.047
1928,15.232000000000001
1894,14.08
1908,16.289
1872,15.927
2014,17.303
1860,13.714
1965,13.545
1916,13.814
1948,15.265999999999998
2007,15.017
1902,14.1
1897,13.312
1945,16.910999999999998
1936,16.191
1895,16.352
1963,15.216
1913,15.867
2001,14.179
1910,15.712
1979,16.076
1976,14.299
1929,16.59
1996,15.540999999999999
1851,13.245
1927,16.224
1859,16.45
1853,14.033
1934,13.673
2002,14.127
2010,14.995
1914,16.692
1915,14.32
1952,17.067999999999998
1921,16.618000000000002
1980,15.578
2015,15.962
2014,16.804000000000002
1858,14.044
1860,12.828
1993,16.230999999999998
2000,14.265999999999998
1859,13.058
1938,16.367
1952,14.334
1882,14.339
2013,15.905
1946,13.816
1868,14.174
1996,16.444000000000006
1922,14.245
1957,16.878
1977,16.285999999999998
2004,14.992
1960,13.552999999999999
1951,13.995
1905,14.857
1991,15.716
1998,17.289
2013,16.608999999999998
1897,15.217
1878,16.267
1867,13.458
1855,16.685000000000002
1911,16.108
1902,14.991
1874,13.458
1916,13.005999999999998
1974,13.3
1987,16.252
1935,16.848
1861,14.095
1951,17.046
1929,15.716
1911,16.430999999999994
1958,17.039
1890,16.528
1851,16.621000000000002
2014,14.899000000000001
1887,12.62
1912,13.595
1974,13.656
1882,13.187000000000001
1886,13.316
1863,15.01
1898,14.868
1952,16.395
1918,14.034
1900,15.955
1999,17.1
1962,15.353
1946,16.252
1881,16.329
1891,16.62
1995,14.783
1876,13.903
1941,13.946000000000002
1991,14.689
1901,13.29
1958,14.507
1941,16.19
1851,13.638
1968,16.695999999999998
1944,14.023
1891,15.023
1860,13.17
1979,16.992
1970,16.104
1897,14.152
1949,15.375
1924,16.555999999999994
2003,15.997
1932,14.175
1969,13.993
1909,15.6
1968,15.481
1935,13.857000000000001
1876,16.848
1870,15.052
1973,13.774
1990,15.683
1930,16.791
1958,14.547
1852,13.311
1900,15.17
2013,15.107
1979,13.768
2011,14.799
1947,15.49
1855,15.187
2004,17.227
1923,13.739
1887,15.916
1992,17.000999999999998
2008,17.077
1944,16.472
1916,16.290000000000006
2004,15.889000000000001
1920,15.855
1920,14.25
1943,15.62
1895,13.989
1941,16.152
1960,16.382
1991,17.163
1887,14.037
2007,14.417
2009,14.873
1977,16.979
1976,13.442
1872,13.331
1984,14.607999999999999
1977,15.47
