Year,AverageTemperature
1905,27.515
1936,16.426000000000002
2007,15.334
1998,24.76
1922,9.373
1844,12.177
1980,15.237
1897,18.855
1986,12.779000000000002
1990,28.215
1919,12.498
1767,6.9910000000000005
1879,25.244
1756,18.091
1916,22.599
1957,14.949000000000002
1945,22.595
2006,22.054
1897,25.548
1920,26.283
1987,26.388
1965,26.666
1892,21.244000000000003
2009,26.439
1972,23.902
1826,17.769000000000005
1842,24.514000000000006
1816,4.628
1951,25.79
1891,28.315
1799,15.484000000000002
2006,11.586
1911,28.664
1872,18.161
1875,5.318
1859,5.621
1908,-5.522
1915,19.102
1961,35.167
1964,20.809
1924,-5.159000000000002
1836,-6.275
1940,26.539
1932,17.243
1924,26.933000000000003
1944,19.845
1926,16.319000000000003
1956,23.124
1955,11.711
1942,28.348000000000003
1955,25.851
1882,29.577
1920,14.692
1820,7.09
1883,13.9
1884,20.448
1795,5.186
1837,1.5470000000000002
1877,12.522
1870,19.453
1950,25.691
1864,28.2
1984,29.585
1981,33.702
1888,-12.206
1817,25.593000000000004
1908,17.023
1970,-2.1630000000000003
1901,8.439
1806,12.367
1868,-1.761
1946,2.386
1959,21.924
1947,22.429
1990,14.265
1915,28.981
1835,25.592
1848,30.835
2001,27.648000000000003
2007,20.679
1784,14.147
1955,29.81
1915,16.259
1988,-2.3260000000000005
1957,17.184
1861,13.127
1781,18.251
1983,4.493
1875,28.153
1901,16.684
1927,26.795
1903,11.478
1997,11.32
1925,-11.722
1929,16.465
1859,9.697
1828,30.45
1905,22.59800000000001
1888,-6.879999999999999
1921,21.211
1838,34.156
1981,11.281
1873,21.821
2009,23.71
1799,30.799
1775,22.463
1847,25.738000000000003
1888,23.804
1949,22.256
1828,25.413
1858,16.822000000000006
1993,28.972
1822,14.147
1867,0.375
1898,2.032
1904,22.45
1981,27.781
1936,0.0020000000000002
1885,26.66
1906,16.328
1927,11.866
1885,20.055
1816,28.34
1921,26.165
1935,15.819
1938,28.802
1825,-15.496000000000002
1964,25.439
1933,12.888
1850,6.834
1870,5.569
1992,16.919999999999998
1943,21.215
1931,-2.465
1802,8.628
1909,-5.335
1893,18.44
1807,13.751
1989,19.828
1957,25.029
1894,28.724
1898,26.391
1957,14.814
1960,5.162999999999999
1988,25.252
2004,16.854
1975,1.1080000000000003
1981,27.151
1998,16.508
1943,24.289
1895,24.749
1959,2.871
1962,13.385000000000002
1798,-3.667
1951,16.262
1990,19.736
1901,20.852
1960,18.604000000000006
1963,1.279
1956,-5.178
1906,23.428
1835,18.07
1878,18.826
1822,23.573
1922,-2.2110000000000003
1957,28.376
1841,14.698
1994,17.675
1926,8.035
1895,34.352000000000004
1878,14.552
1786,7.056
1950,16.593
1864,17.939
1940,5.732
1948,20.128
1990,15.294
2011,30.839
1994,12.29
1825,21.595
1874,13.772
1834,8.918
1899,0.396
1880,28.612
1888,23.458
1800,14.515999999999998
1891,18.56
1798,8.839
1950,17.038999999999998
1894,18.713
1918,33.349000000000004
1923,23.496
1937,26.4
1967,7.456
1902,11.064
1899,28.6
1960,27.561
1939,23.377
1974,24.386
1949,22.631
1933,16.323999999999998
1815,14.431
2005,14.64
1838,27.513
1758,3.511
1880,32.033
1977,22.505
1900,4.078
1992,28.924000000000003
1938,26.12
1939,23.285
1989,26.231
1938,26.774
1908,27.148000000000003
1946,29.866
1937,30.055
1895,31.233
1981,25.979
1879,28.656
1928,25.112
1945,-7.218
1882,27.749
1980,20.357
1939,20.03
1998,1.686
1937,27.631
1907,32.739000000000004
1986,25.95
1845,26.04
1754,17.522000000000002
1936,6.067
1891,9.531
